Scaffold626	NW_012225027.1
Scaffold627	NW_012225028.1
Scaffold628	NW_012225029.1
Scaffold629	NW_012225030.1
Scaffold630	NW_012225031.1
Scaffold631	NW_012225032.1
Scaffold632	NW_012225033.1
Scaffold633	NW_012225034.1
Scaffold634	NW_012225035.1
Scaffold635	NW_012225036.1
Scaffold636	NW_012225037.1
Scaffold637	NW_012225038.1
Scaffold638	NW_012225039.1
Scaffold639	NW_012225040.1
Scaffold640	NW_012225041.1
Scaffold641	NW_012225042.1
Scaffold642	NW_012225043.1
Scaffold643	NW_012225044.1
Scaffold644	NW_012225045.1
Scaffold645	NW_012225046.1
Scaffold646	NW_012225047.1
Scaffold647	NW_012225048.1
Scaffold648	NW_012225049.1
Scaffold649	NW_012225050.1
Scaffold650	NW_012225051.1
Scaffold651	NW_012225052.1
Scaffold652	NW_012225053.1
Scaffold653	NW_012225054.1
Scaffold654	NW_012225055.1
Scaffold655	NW_012225056.1
Scaffold656	NW_012225057.1
Scaffold657	NW_012225058.1
Scaffold658	NW_012225059.1
Scaffold659	NW_012225060.1
Scaffold660	NW_012225061.1
Scaffold661	NW_012225062.1
Scaffold662	NW_012225063.1
Scaffold663	NW_012225064.1
Scaffold664	NW_012225065.1
Scaffold665	NW_012225066.1
Scaffold666	NW_012225067.1
Scaffold667	NW_012225068.1
Scaffold668	NW_012225069.1
Scaffold669	NW_012225070.1
Scaffold670	NW_012225071.1
Scaffold671	NW_012225072.1
Scaffold672	NW_012225073.1
Scaffold673	NW_012225074.1
Scaffold674	NW_012225075.1
Scaffold675	NW_012225076.1
Scaffold676	NW_012225077.1
Scaffold677	NW_012225078.1
Scaffold678	NW_012225079.1
Scaffold679	NW_012225080.1
Scaffold680	NW_012225081.1
Scaffold681	NW_012225082.1
Scaffold682	NW_012225083.1
Scaffold683	NW_012225084.1
Scaffold684	NW_012225085.1
Scaffold685	NW_012225086.1
Scaffold686	NW_012225087.1
Scaffold687	NW_012225088.1
Scaffold688	NW_012225089.1
Scaffold689	NW_012225090.1
Scaffold690	NW_012225091.1
Scaffold691	NW_012225092.1
Scaffold692	NW_012225093.1
Scaffold693	NW_012225094.1
Scaffold694	NW_012225095.1
Scaffold695	NW_012225096.1
Scaffold696	NW_012225097.1
Scaffold697	NW_012225098.1
Scaffold698	NW_012225099.1
Scaffold699	NW_012225100.1
Scaffold700	NW_012225101.1
Scaffold701	NW_012225102.1
Scaffold702	NW_012225103.1
Scaffold703	NW_012225104.1
Scaffold704	NW_012225105.1
Scaffold705	NW_012225106.1
Scaffold706	NW_012225107.1
Scaffold707	NW_012225108.1
Scaffold708	NW_012225109.1
Scaffold709	NW_012225110.1
Scaffold710	NW_012225111.1
Scaffold711	NW_012225112.1
Scaffold712	NW_012225113.1
Scaffold713	NW_012225114.1
Scaffold714	NW_012225115.1
Scaffold715	NW_012225116.1
Scaffold716	NW_012225117.1
Scaffold717	NW_012225118.1
Scaffold718	NW_012225119.1
Scaffold719	NW_012225120.1
Scaffold720	NW_012225121.1
Scaffold721	NW_012225122.1
Scaffold722	NW_012225123.1
Scaffold723	NW_012225124.1
Scaffold724	NW_012225125.1
Scaffold725	NW_012225126.1
Scaffold726	NW_012225127.1
Scaffold727	NW_012225128.1
Scaffold728	NW_012225129.1
Scaffold729	NW_012225130.1
Scaffold730	NW_012225131.1
Scaffold731	NW_012225132.1
Scaffold732	NW_012225133.1
Scaffold733	NW_012225134.1
Scaffold734	NW_012225135.1
Scaffold735	NW_012225136.1
Scaffold736	NW_012225137.1
Scaffold737	NW_012225138.1
Scaffold738	NW_012225139.1
Scaffold739	NW_012225140.1
Scaffold740	NW_012225141.1
Scaffold741	NW_012225142.1
Scaffold742	NW_012225143.1
Scaffold743	NW_012225144.1
Scaffold744	NW_012225145.1
Scaffold745	NW_012225146.1
Scaffold746	NW_012225147.1
Scaffold747	NW_012225148.1
Scaffold748	NW_012225149.1
Scaffold749	NW_012225150.1
Scaffold750	NW_012225151.1
Scaffold751	NW_012225152.1
Scaffold752	NW_012225153.1
Scaffold753	NW_012225154.1
Scaffold754	NW_012225155.1
Scaffold755	NW_012225156.1
Scaffold756	NW_012225157.1
Scaffold757	NW_012225158.1
Scaffold758	NW_012225159.1
Scaffold759	NW_012225160.1
Scaffold760	NW_012225161.1
Scaffold761	NW_012225162.1
Scaffold762	NW_012225163.1
Scaffold763	NW_012225164.1
Scaffold764	NW_012225165.1
Scaffold765	NW_012225166.1
Scaffold766	NW_012225167.1
